DistractionID,OwnerID,NoiseID,Tag,Level,SFXID,Info
D_N001_A,N_001,N_001,sound,3,S_003,"""흐읍! 핫!"" 하는 거친 기합 소리"
D_N001_B,N_001,E_005,sound,5,S_004,무거운 쇳덩이가 바닥을 찍는 진동음
D_N002_A,N_002,N_002,sound,4,S_005,서로 고함을 지르며 악을 쓰는 남녀의 목소리
D_N002_B,N_002,E_006,sound,4,S_006,접시가 벽이나 바닥에 부딪혀 깨지는 소리
D_N003_A,N_003,N_003,sound,3,S_007,책상을 내리치며 억울함을 토로하는 목소리
D_N003_B,N_003,E_007,sound,3,S_008,컴퓨터에서 나는 게임 사운드
D_N004_A,N_004,N_004,sound,2,S_009,골을 바라며 계속 중얼거리는 소리
D_N004_B,N_004,E_008,sound,3,S_010,"TV의 축구 중계 소리(함성 소리, 캐스터 목소리)"
D_N005_A,N_005,E_009,sound,3,S_011,앰프를 통해 흘러나오는 기타 소리
D_N005_B,N_005,E_010,sound,4,S_012,앰프를 통해 흘러 나오는 베이스 소리
D_N005_C,N_005,E_011,sound,5,S_013,드럼 소리
D_N006_A,N_006,N_006,sound,3,S_014,집 안을 뛰어다니며 신발을 끄는 소리
D_N006_B,N_006,E_012,sound,4,S_015,농구공이 바닥에 튀기면서 나는 소리
D_N008_A,N_008,E_013,sound,3,S_016,옛날 노래 소리(뽕짝 느낌)
D_N009_A,N_009,N_009,sound,3,S_017,불안정한 음색의 노래 소리
D_N010_A,N_010,N_010,sound,1,S_018,훌쩍거리며 우는 소리
D_N011_A,N_011,N_011,sound,3,S_019,신나서 꺄르르 웃는 소리
D_N011_B,N_011,E_015,sound,2,S_020,아이의 부모가 아이와 호응하며 웃는 소리
D_N012_A,N_012,E_016,sound,3,S_021,피아노 소리
D_N013_A,N_013,N_013,sound,4,S_022,사람들의 호응을 유도하는 소리
D_N013_B,N_013,E_017,sound,4,S_023,사람들이 춤추고 떠드는 소리
D_N013_C,N_013,E_018,sound,5,S_024,클럽 음악 소리
D_N014_A,N_014,N_014,sound,1,S_025,혼자 이상하게 웃는 소리
