InteractionListID,TargetID,Priority,ConditionKey,ConditionValue,LinkedInterAction,,,
IL_E003_A,E_003,0,None,None,"I_E003_01, I_E003_02",,,
IL_E004_A,E_004,0,None,None,I_E004_01,,,
IL_N001_A,N_001,0,None,None,"I_N001_01, I_N001_02, I_N001_03",,,
IL_N002_A,N_002,0,None,None,"I_N002_01, I_N002_02, I_N002_03",,,
IL_E006_A,E_006,0,None,None,I_E006_01,,,
IL_N003_A,N_003,0,None,None,"I_N003_01, I_N003_02",,,
IL_E007_A,E_007,0,None,None,I_E007_01,,,
IL_N004_A,N_004,0,None,None,"I_N004_01, I_N004_02, I_N004_03",,,
IL_E008_A,E_008,0,None,None,I_E008_01,,,
IL_N005_A,N_005,0,None,None,"I_N005_01, I_N005_02, I_N005_03",,,
IL_E009_A,E_009,0,None,None,I_E009_01,,,
IL_E010_A,E_010,0,None,None,I_E010_01,,,
IL_E011_A,E_011,0,None,None,I_E011_01,,,
IL_N006_A,N_006,0,None,None,"I_N006_01, I_N006_02",,,
IL_E012_A,E_012,0,None,None,I_E012_01,,,
IL_N008_A,N_008,0,None,None,"I_N008_01, I_N008_02",,,
IL_E013_A,E_013,0,None,None,"I_E013_01, I_E013_02",,,
IL_N009_A,N_009,0,None,None,"I_N009_01, I_N009_02, I_N009_03",,,
IL_N010_A,N_010,0,None,None,"I_N010_01, I_N010_02, I_N010_03",,,
IL_N011_A,N_011,0,None,None,I_N011_01,,,
IL_E014_A,E_014,0,None,None,I_E014_01,,,
IL_E015_A,E_015,0,None,None,"I_E015_01, I_E015_02",,,
IL_N012_A,N_012,0,None,None,I_N012_01,,,
IL_E016_A,E_016,0,None,None,I_E016_01,,,
IL_N013_A,N_013,0,None,None,"I_N013_01, I_N013_02, I_N013_03, I_N013_04",,,
IL_E017_A,E_017,0,None,None,I_E017_01,,,
IL_E018_A,E_018,0,None,None,I_E018_01,,,
IL_E019_A,E_019,0,None,None,I_E019_01,,,
IL_N014_A,N_014,0,None,None,"I_N014_01, I_N014_02",,,
