Place ID,층(Floor),위치 설명,거리 레벨
P_303,3F,플레이어의 집,0
P_203,2F,203호(바로 아랫집),1
P_300,3F,3층 복도(집 앞 복도),1
P_302,3F,302호(바로 옆집),1
P_304,3F,304호(바로 옆집),1
P_403,4F,403호(바로 윗집),1
P_103,1F,103호,2
P_200,2F,2층 복도,2
P_202,2F,202호,2
P_204,2F,204호,2
P_301,3F,301호,2
P_305,3F,305호,2
P_400,4F,4층 복도,2
P_402,4F,402호,2
P_404,4F,404호,2
P_503,5F,503호,2
P_100,1F,1층 복도,3
P_102,1F,102호,3
P_104,1F,104호,3
P_201,2F,201호,3
P_205,2F,205호,3
P_401,4F,401호,3
P_405,4F,405호,3
P_500,5F,5층 복도,3
P_502,5F,502호,3
P_504,5F,504호,3
P_101,1F,101호,4
P_105,1F,105호,4
P_501,5F,501호,4
P_505,5F,505호,4
P_000,0F,아파트 외부,5
