TextID,TextContent,Speaker
T_N001_01,안 돼. 근손실 오면 책임질 거야?,N_001
T_N002_01,것 봐 이웃 사람들이 시끄러워 할 거라고 했잖아,N_002
T_N003_01,줄이면 될 거 아니야,N_003
T_N004_01,그게 무슨 멍청한 말이야? 당연히 해외 축구는 새벽에 하는 거지!,N_004
T_N004_02,악! 잘못했어! 시끄럽게 안 할게!,N_004
T_N005_01,연습실 대여할 돈은 형씨가 내주나?,N_005
T_N006_01,어쩔티비?,N_006
T_N008_01,무슨 말을 하는지 잘 안 들리는데 좀만 더 크게 말해줄 수 있겠나,N_008
T_N009_01,그래? 네가 듣기에도 괜찮았단 말이지? 그럼 오늘 연습은 여기서 끝내도 되겠는데?,N_009
T_N009_02,이런 예술도 모르는 무지몽매한 것이 감히!,N_009
T_N010_01,"미안해요, 거슬렸죠? 제가 거슬렸나봐요. 그러니까 차였지······.",N_010
T_N010_02,(어떻게 여자친구를 만나게 되었는가에 대한 긴 얘기),N_010
T_N010_03,(자신이 얼마나 여자친구한테 반했었는가에 대한 긴 얘기),N_010
T_N010_04,(어떻게 여자친구와 사귀게 되었는가에 대한 긴 얘기),N_010
T_N010_05,(여자친구와 보냈던 행복한 시간에 대한 긴 얘기),N_010
T_N010_06,(여자친구와 처음 싸운 일에 대한 긴 얘기),N_010
T_N010_07,(다툼이 잦아진 두 사람에 대한 긴 얘기),N_010
T_N010_08,(여자친구가 헤어지자고 한 상황에 대한 긴 얘기),N_010
T_N010_09,들어주셔서 고마워요. 누군가에게 얘기하니까 한결 낫네요. 기분이 괜찮아졌어요. 더 이상 울지 않아도 될 거 같아요.,N_010
T_N010_10,악! 아파요! 하지만 마음이 더 아파요! 몸이 아픈 것보다도 더!,N_010
T_E015_01,"애가 좀 신날 수도 있지 뭘 그거 갖고 그래요? 어른이 되어가지고 쪼잔하네. 당신, 애 안 키워봤어요? 아니, 결혼은 했나 몰라.",E_015
T_N012_01,뭐라고? 내 혼신의 연주가 소음에 불과하다고? 말도 안돼. 그렇게 끔찍하다니. 나는 쓰레기였어. 다시는 연주를 하지 않겠어.,N_012
T_N013_01,민폐일 수 있지. 하지만 클럽 음악은 사람을 즐겁게 하잖아? 다들 좋아하지 않을까? 너도 화만 내지 말고 같이 즐겨봐!,N_013
T_N014_01,우습지. 우스울 수밖에 없지. 너를 죽일 거니까!,N_014
